"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"206",8,"Cameron Dicker",LAC,"K2","7","5 out of 5","1 out of 5","2 out of 5 stars","-72","+2.5","75% (12/16)"
"207",8,"Minnesota Vikings",MIN,"DST10","6","-","-","1 out of 5 stars","-24","+1.2","37% (6/16)"
"208",8,"Cade Otton",TB,"TE28","10","2 out of 5","4 out of 5","2 out of 5 stars","+42","-1.4","33% (5/15)"
"209",8,"Tank Dell",HOU,"WR77","8","4 out of 5","4 out of 5","3 out of 5 stars","+12","-","-"
"210",8,"Cooper Kupp",SEA,"WR78","11","2 out of 5","4 out of 5","3 out of 5 stars","-14","-1.5","40% (6/15)"
"211",8,"Ka'imi Fairbairn",HOU,"K3","8","5 out of 5","1 out of 5","2 out of 5 stars","-80","+4.8","92% (13/14)"
"212",8,"Kaytron Allen",WAS,"RB64","7","2 out of 5","4 out of 5","4 out of 5 stars","+32","-","-"
"213",8,"George Holani",SEA,"RB65","11","3 out of 5","4 out of 5","4 out of 5 stars","+53","+0.4","22% (2/9)"
"214",8,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-54","+2.0","68% (11/16)"
"215",8,"Isaac TeSlaa",DET,"WR79","6","3 out of 5","4 out of 5","4 out of 5 stars","-14","+1.1","43% (7/16)"
"216",8,"Darnell Mooney",NYG,"WR80","8","3 out of 5","4 out of 5","4 out of 5 stars","+53","-2.9","14% (2/14)"
"217",8,"Kansas City Chiefs",KC,"DST11","5","-","-","3 out of 5 stars","+13","-1.3","31% (5/16)"
"218",8,"Baltimore Ravens",BAL,"DST12","13","-","-","5 out of 5 stars","-27","-0.3","56% (9/16)"
"219",8,"Jason Myers",SEA,"K5","11","4 out of 5","1 out of 5","4 out of 5 stars","-70","+4.5","87% (14/16)"
"220",8,"James Conner",ARI,"RB66","14","3 out of 5","4 out of 5","2 out of 5 stars","-23","-","-"
"221",8,"Tyler Loop",BAL,"K6","13","-","-","3 out of 5 stars","-22","+1.1","56% (9/16)"
"222",8,"Green Bay Packers",GB,"DST13","11","-","-","2 out of 5 stars","-12","-2.0","31% (5/16)"
"223",8,"Emanuel Wilson",SEA,"RB67","11","2 out of 5","4 out of 5","4 out of 5 stars","+68","+0.8","37% (6/16)"
"224",8,"Jake Bates",DET,"K7","6","4 out of 5","2 out of 5","5 out of 5 stars","-32","+0.7","43% (7/16)"
"225",8,"Eddy Pineiro",SF,"K8","8","4 out of 5","1 out of 5","5 out of 5 stars","-25","+3.1","69% (9/13)"
"226",9,"Jaylen Wright",MIA,"RB68","6","-","-","3 out of 5 stars","+15","+2.3","54% (6/11)"
"227",9,"Germie Bernard",PIT,"WR81","9","2 out of 5","4 out of 5","3 out of 5 stars","+41","-","-"
"228",9,"Kaelon Black",SF,"RB69","8","3 out of 5","4 out of 5","2 out of 5 stars","-46","-","-"
"229",9,"Harrison Mevis",LAR,"K9","11","4 out of 5","2 out of 5","2 out of 5 stars","-39","+0.6","50% (4/8)"
"230",9,"Detroit Lions",DET,"DST14","6","-","-","5 out of 5 stars","-21","-1.2","31% (5/16)"
"231",9,"Zachariah Branch",ATL,"WR82","11","2 out of 5","4 out of 5","3 out of 5 stars","+9","-","-"
"232",9,"Cairo Santos",CHI,"K10","10","3 out of 5","3 out of 5","0 out of 5 stars","+17","+2.0","71% (10/14)"
"233",9,"Buffalo Bills",BUF,"DST15","7","-","-","3 out of 5 stars","+1","-0.3","25% (4/16)"
"234",9,"Troy Franklin",DEN,"WR83","10","1 out of 5","5 out of 5","2 out of 5 stars","+67","+1.0","50% (8/16)"
"235",9,"Devaughn Vele",NO,"WR84","8","2 out of 5","4 out of 5","3 out of 5 stars","+37","-","-"
"236",9,"Justice Hill",BAL,"RB70","13","-","-","3 out of 5 stars","-3","+0.2","40% (4/10)"
"237",9,"Malachi Fields",NYG,"WR85","8","4 out of 5","4 out of 5","4 out of 5 stars","-6","-","-"
"238",9,"David Njoku",LAC,"TE29","7","4 out of 5","4 out of 5","4 out of 5 stars","-58","-1.1","33% (4/12)"
"239",9,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-73","-","-"
"240",9,"Chase McLaughlin",TB,"K11","10","4 out of 5","2 out of 5","3 out of 5 stars","-14","+1.4","56% (9/16)"
"241",9,"Evan McPherson",CIN,"K12","6","4 out of 5","2 out of 5","2 out of 5 stars","-35","+1.3","56% (9/16)"
"242",9,"Cleveland Browns",CLE,"DST16","11","-","-","5 out of 5 stars","+14","0.0","37% (6/16)"
"243",9,"Evan Engram",DEN,"TE30","10","-","-","4 out of 5 stars","+32","-1.4","26% (4/15)"
"244",9,"Keon Coleman",BUF,"WR86","7","2 out of 5","4 out of 5","4 out of 5 stars","+29","-1.5","25% (3/12)"
"245",9,"Andy Borregales",NE,"K13","11","-","-","1 out of 5 stars","-25","+1.3","50% (8/16)"
"246",9,"Ja'Kobi Lane",BAL,"WR87","13","4 out of 5","4 out of 5","4 out of 5 stars","-96","-","-"
"247",9,"Chris Bell",MIA,"WR88","6","3 out of 5","4 out of 5","3 out of 5 stars","-9","-","-"
"248",9,"Najee Harris",NYG,"RB71","8","2 out of 5","4 out of 5","4 out of 5 stars","+11","-","-"
"249",9,"Jack Bech",LV,"WR89","13","3 out of 5","4 out of 5","2 out of 5 stars","-","-1.1","40% (6/15)"
"250",9,"Colby Parkinson",LAR,"TE31","11","-","-","4 out of 5 stars","+21","+2.9","64% (9/14)"
"251",9,"Antonio Williams",WAS,"WR90","7","4 out of 5","2 out of 5","2 out of 5 stars","+25","-","-"
"252",9,"Chris Brooks",GB,"RB72","11","2 out of 5","4 out of 5","4 out of 5 stars","+66","-0.6","25% (4/16)"
"253",9,"Harrison Butker",KC,"K14","5","-","-","5 out of 5 stars","-55","+0.7","50% (8/16)"
"254",9,"Jordan James",SF,"RB73","8","2 out of 5","4 out of 5","2 out of 5 stars","+1","-0.8","0% (0/1)"
"255",9,"Demond Claiborne",MIN,"RB74","6","3 out of 5","4 out of 5","4 out of 5 stars","+5","-","-"
"256",9,"Samaje Perine",CIN,"RB75","6","2 out of 5","5 out of 5","2 out of 5 stars","+21","0.0","42% (6/14)"
"257",9,"Isaiah Davis",NYJ,"RB76","13","2 out of 5","4 out of 5","3 out of 5 stars","-","-0.1","37% (6/16)"
"258",9,"Ted Hurst III",TB,"WR91","10","4 out of 5","4 out of 5","4 out of 5 stars","+6","-","-"
"259",9,"Ollie Gordon II",MIA,"RB77","6","3 out of 5","4 out of 5","3 out of 5 stars","-","-0.6","25% (4/16)"
"260",9,"Malik Davis",DAL,"RB78","14","-","-","4 out of 5 stars","+36","+2.0","57% (4/7)"
"261",9,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","5 out of 5","4 out of 5 stars","-18","-1.9","35% (5/14)"
"262",9,"Chris Boswell",PIT,"K15","9","4 out of 5","2 out of 5","4 out of 5 stars","-45","+1.3","62% (10/16)"
"263",9,"Elic Ayomanor",TEN,"WR92","9","1 out of 5","5 out of 5","3 out of 5 stars","-","-0.7","33% (5/15)"
"264",9,"Greg Dulcich",MIA,"TE32","6","4 out of 5","4 out of 5","5 out of 5 stars","-51","+1.9","66% (6/9)"
"265",9,"Tory Horton",SEA,"WR93","11","3 out of 5","4 out of 5","3 out of 5 stars","+24","+1.3","50% (4/8)"
"266",9,"Michael Penix Jr.",ATL,"QB32","11","2 out of 5","5 out of 5","4 out of 5 stars","-12","-","-"
"267",9,"Ty Johnson",BUF,"RB79","7","-","-","2 out of 5 stars","+13","+0.6","37% (6/16)"
"268",9,"Wil Lutz",DEN,"K16","10","-","-","1 out of 5 stars","-17","+0.1","56% (9/16)"
"269",9,"Tyquan Thornton",KC,"WR94","5","2 out of 5","5 out of 5","2 out of 5 stars","-","-","-"
"270",9,"LeQuint Allen Jr.",JAC,"RB80","7","2 out of 5","4 out of 5","4 out of 5 stars","+35","-0.4","37% (6/16)"
"271",9,"Caleb Douglas",MIA,"WR95","6","3 out of 5","4 out of 5","3 out of 5 stars","-49","-","-"
"272",9,"Kirk Cousins",LV,"QB33","13","2 out of 5","4 out of 5","1 out of 5 stars","-10","-0.1","33% (5/15)"
"273",9,"Chimere Dike",TEN,"WR96","9","1 out of 5","5 out of 5","3 out of 5 stars","-","+0.3","37% (6/16)"
"274",9,"Darius Slayton",NYG,"WR97","8","2 out of 5","4 out of 5","4 out of 5 stars","-","-1.2","38% (5/13)"
"275",9,"DJ Giddens",IND,"RB81","13","2 out of 5","4 out of 5","4 out of 5 stars","-","-0.6","28% (2/7)"
"276",9,"Christian Kirk",SF,"WR98","8","2 out of 5","4 out of 5","2 out of 5 stars","-","-2.3","25% (3/12)"
"277",9,"Deshaun Watson",CLE,"QB34","11","1 out of 5","5 out of 5","4 out of 5 stars","-20","-","-"
"278",9,"Will Reichard",MIN,"K17","6","-","-","2 out of 5 stars","-73","+2.1","68% (11/16)"
"279",9,"Kendre Miller",NO,"RB82","8","2 out of 5","4 out of 5","3 out of 5 stars","-","-","-"
"280",9,"Seth McGowan",IND,"RB83","13","4 out of 5","4 out of 5","4 out of 5 stars","+14","-","-"
"281",9,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-16","+1.6","30% (3/10)"
"282",9,"Xavier Legette",CAR,"WR99","5","2 out of 5","4 out of 5","2 out of 5 stars","-","-0.5","28% (4/14)"
"283",9,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","-","-0.8","30% (4/13)"
"284",9,"Atlanta Falcons",ATL,"DST17","11","-","-","4 out of 5 stars","-26","+0.4","43% (7/16)"
"285",9,"Theo Johnson",NYG,"TE34","8","1 out of 5","5 out of 5","3 out of 5 stars","+12","+0.2","46% (7/15)"
"286",9,"San Francisco 49ers",SF,"DST18","8","-","-","3 out of 5 stars","-70","-1.3","43% (7/16)"
"287",9,"Elijah Sarratt",BAL,"WR100","13","4 out of 5","4 out of 5","4 out of 5 stars","-","-","-"
"288",9,"Marvin Mims Jr.",DEN,"WR101","10","3 out of 5","4 out of 5","2 out of 5 stars","-","-0.5","42% (6/14)"
"289",9,"Cyrus Allen",KC,"WR102","5","4 out of 5","4 out of 5","2 out of 5 stars","-77","-","-"
"290",9,"Adam Randall",BAL,"RB84","13","4 out of 5","4 out of 5","3 out of 5 stars","+26","-","-"
"291",9,"Emari Demercado",KC,"RB85","5","1 out of 5","5 out of 5","3 out of 5 stars","+17","-1.1","27% (3/11)"
"292",9,"Devin Neal",NO,"RB86","8","2 out of 5","4 out of 5","3 out of 5 stars","-","-","-"
"293",9,"Brashard Smith",KC,"RB87","5","-","-","3 out of 5 stars","-","-0.3","37% (6/16)"
"294",9,"Eli Stowers",PHI,"TE35","10","4 out of 5","4 out of 5","4 out of 5 stars","-24","-","-"
"295",9,"Devin Singletary",NYG,"RB88","8","1 out of 5","5 out of 5","4 out of 5 stars","-28","+1.2","50% (8/16)"
"296",9,"Kyle Williams",NE,"WR103","11","3 out of 5","4 out of 5","2 out of 5 stars","-","-0.1","31% (5/16)"
"297",9,"Hollywood Brown",PHI,"WR104","10","-","-","4 out of 5 stars","-","+0.3","60% (9/15)"
"298",9,"Trevor Etienne",CAR,"RB89","5","-","-","1 out of 5 stars","-","-0.7","20% (3/15)"
"299",10,"Tahj Brooks",CIN,"RB90","6","-","-","2 out of 5 stars","-","-0.8","8% (1/12)"
"300",10,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-","+1.1","50% (8/16)"
"301",10,"Mike Gesicki",CIN,"TE36","6","-","-","3 out of 5 stars","-14","-0.6","25% (3/12)"
"302",10,"Mack Hollins",NE,"WR105","11","-","-","2 out of 5 stars","-","+1.1","60% (9/15)"
"303",10,"Trey Benson",ARI,"RB91","14","1 out of 5","5 out of 5","2 out of 5 stars","-3","-","-"
"304",10,"Kaleb Johnson",PIT,"RB92","9","2 out of 5","5 out of 5","2 out of 5 stars","-19","-1.3","21% (3/14)"
"305",10,"Jarquez Hunter",MIA,"RB93","6","-","-","3 out of 5 stars","-","-0.8","0% (0/4)"
"306",10,"Jerome Ford",WAS,"RB94","7","2 out of 5","4 out of 5","4 out of 5 stars","-","-","-"
"307",10,"Isaac Guerendo",SF,"RB95","8","-","-","2 out of 5 stars","-","-1.3","0% (0/13)"
"308",10,"Isaiah Bond",CLE,"WR106","11","-","-","3 out of 5 stars","-","-0.8","33% (5/15)"
"309",10,"Audric Estime",NO,"RB96","8","-","-","3 out of 5 stars","-","+1.0","33% (2/6)"
"310",10,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-","+0.1","37% (6/16)"
"311",10,"Skyler Bell",BUF,"WR107","7","-","-","4 out of 5 stars","-","-","-"
"312",10,"Jaleel McLaughlin",DEN,"RB97","10","-","-","2 out of 5 stars","-","-0.9","14% (1/7)"
"313",10,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","-","+4.2","60% (3/5)"
"314",10,"Brandon Aiyuk",SF,"WR108","8","2 out of 5","5 out of 5","2 out of 5 stars","-11","-","-"
"315",10,"Darren Waller",CAR,"TE37","5","-","-","2 out of 5 stars","-","+1.4","33% (3/9)"
"316",10,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-97","+0.3","43% (7/16)"
"317",10,"Jake Tonges",SF,"TE38","8","-","-","3 out of 5 stars","-43","+1.0","42% (6/14)"
"318",10,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","-","-0.6","14% (2/14)"
"319",10,"DeMario Douglas",NE,"WR109","11","-","-","2 out of 5 stars","-","-0.8","25% (4/16)"
"320",10,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-","+0.5","43% (7/16)"
"321",10,"Andrei Iosivas",CIN,"WR110","6","-","-","4 out of 5 stars","-","-0.1","37% (6/16)"
"322",10,"Jahan Dotson",ATL,"WR111","11","-","-","3 out of 5 stars","-8","-0.6","25% (4/16)"
"323",10,"Tyreek Hill",FA,"WR112","-","1 out of 5","5 out of 5","-","-116","-","-"
"324",10,"Oscar Delp",NO,"TE40","8","4 out of 5","4 out of 5","2 out of 5 stars","-","-","-"
"325",10,"Michael Mayer",LV,"TE41","13","-","-","3 out of 5 stars","-","-0.5","33% (4/12)"
"326",10,"Charlie Kolar",LAC,"TE42","7","-","-","4 out of 5 stars","-","-","-"
"327",10,"Elijah Arroyo",SEA,"TE43","11","-","-","3 out of 5 stars","-","-","-"
"328",10,"Erick All Jr.",CIN,"TE44","6","-","-","3 out of 5 stars","-","-","-"
"329",10,"Bryce Lance",NO,"WR113","8","-","-","3 out of 5 stars","-","-","-"
"330",10,"Carson Beck",ARI,"QB36","14","-","-","2 out of 5 stars","-","-","-"
"331",10,"Jalen Tolbert",MIA,"WR114","6","-","-","3 out of 5 stars","-32","-0.3","36% (4/11)"
"332",10,"Eli Raridon",NE,"TE45","11","-","-","4 out of 5 stars","-","-","-"
"333",10,"Kareem Hunt",FA,"RB99","-","-","-","-","-41","+0.4","37% (6/16)"
"334",10,"Xavier Hutchinson",HOU,"WR115","8","-","-","3 out of 5 stars","-","+0.4","43% (7/16)"
"335",10,"Cole Kmet",CHI,"TE46","10","-","-","2 out of 5 stars","-","+0.2","46% (7/15)"
"336",10,"Dawson Knox",BUF,"TE47","7","-","-","3 out of 5 stars","-","+1.4","56% (9/16)"
"337",11,"Brenen Thompson",LAC,"WR116","7","-","-","2 out of 5 stars","-","-","-"
"338",11,"Joe Mixon",FA,"RB100","-","-","-","-","-","-","-"
"339",11,"J.J. McCarthy",MIN,"QB37","6","-","-","5 out of 5 stars","-","-1.0","55% (5/9)"
"340",11,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-138","-3.1","25% (4/16)"
"341",11,"Tyler Higbee",LAR,"TE48","11","-","-","4 out of 5 stars","-","-0.4","40% (4/10)"
"342",11,"Noah Gray",KC,"TE49","5","-","-","4 out of 5 stars","-","-1.2","33% (5/15)"
"343",11,"Luke McCaffrey",WAS,"WR117","7","-","-","2 out of 5 stars","-","+0.3","55% (5/9)"
"344",11,"Konata Mumpfield",LAR,"WR118","11","-","-","1 out of 5 stars","-","-0.6","20% (3/15)"
"345",11,"Tez Johnson",TB,"WR119","10","-","-","4 out of 5 stars","-","+0.8","42% (6/14)"
"346",11,"Kendrick Bourne",ARI,"WR120","14","-","-","2 out of 5 stars","-","-0.4","33% (5/15)"
"347",11,"Cedric Tillman",FA,"WR121","-","-","-","-","-","-2.0","33% (4/12)"
"348",11,"Max Klare",LAR,"TE50","11","-","-","4 out of 5 stars","-","-","-"
"349",11,"Jalen Royals",KC,"WR122","5","-","-","2 out of 5 stars","-","-1.9","0% (0/4)"
"350",11,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-","+0.7","26% (4/15)"
"351",11,"Joshua Palmer",BUF,"WR123","7","-","-","4 out of 5 stars","-","-1.7","18% (2/11)"
"352",11,"Olamide Zaccheaus",ATL,"WR124","11","-","-","3 out of 5 stars","-","-0.6","40% (6/15)"
"353",11,"Bam Knight",ARI,"RB101","14","-","-","2 out of 5 stars","-","-","-"
"354",11,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-","-","-"
"355",11,"Jake Elliott",PHI,"K19","10","-","-","5 out of 5 stars","-113","-0.4","37% (6/16)"
"356",11,"Treylon Burks",WAS,"WR125","7","-","-","2 out of 5 stars","-","-0.5","50% (3/6)"
"357",11,"Ja'Tavion Sanders",CAR,"TE51","5","-","-","2 out of 5 stars","-","-1.1","30% (4/13)"
"358",11,"Eli Heidenreich",PIT,"RB102","9","-","-","2 out of 5 stars","-","-","-"
"359",11,"Chris Brazzell II",CAR,"WR126","5","-","-","2 out of 5 stars","-","-","-"
"360",11,"Carolina Panthers",CAR,"DST23","5","-","-","3 out of 5 stars","-","+1.0","43% (7/16)"
"361",11,"Jawhar Jordan",HOU,"RB103","8","-","-","4 out of 5 stars","-","+0.1","50% (1/2)"
"362",11,"Malik Benson",LV,"WR127","13","-","-","2 out of 5 stars","-","-","-"
"363",11,"Tyler Bass",BUF,"K20","7","-","-","2 out of 5 stars","-118","-","-"
"364",11,"Ty Simpson",LAR,"QB40","11","-","-","3 out of 5 stars","-","-","-"
"365",11,"Michael Carter",TEN,"RB104","9","-","-","3 out of 5 stars","-","+0.3","50% (5/10)"
"366",11,"Savion Williams",GB,"WR128","11","-","-","5 out of 5 stars","-","-0.5","41% (5/12)"
"367",11,"Justin Joly",DEN,"TE52","10","-","-","4 out of 5 stars","-","-","-"
"368",11,"KaVontae Turpin",DAL,"WR129","14","-","-","2 out of 5 stars","-","+0.9","42% (6/14)"
"369",11,"Roman Wilson",PIT,"WR130","9","-","-","3 out of 5 stars","-","-","-"
"370",11,"Raheim Sanders",CLE,"RB105","11","-","-","3 out of 5 stars","-","0.0","33% (1/3)"
"371",11,"Dont'e Thornton Jr.",LV,"WR131","13","-","-","2 out of 5 stars","-","-2.9","0% (0/14)"
"372",11,"New York Giants",NYG,"DST24","8","-","-","1 out of 5 stars","-140","-1.8","25% (4/16)"
"373",11,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","-","-0.1","16% (1/6)"
"374",11,"Zavion Thomas",CHI,"WR132","10","-","-","3 out of 5 stars","-","-","-"
"375",11,"Colbie Young",CIN,"WR133","6","-","-","4 out of 5 stars","-","-","-"
"376",11,"Kalif Raymond",CHI,"WR134","10","-","-","3 out of 5 stars","-","+0.9","50% (7/14)"
"377",11,"Kevin Coleman Jr.",MIA,"WR135","6","-","-","3 out of 5 stars","-","-","-"
"378",11,"CJ Daniels",LAR,"WR136","11","-","-","1 out of 5 stars","-","-","-"
"379",11,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-","+0.9","33% (5/15)"
"380",11,"Trey Smack",GB,"K21","11","-","-","4 out of 5 stars","-166","-","-"
"381",11,"Tampa Bay Buccaneers",TB,"DST25","10","-","-","4 out of 5 stars","-","-0.7","25% (4/16)"
"382",11,"Noah Fant",NO,"TE53","8","-","-","2 out of 5 stars","-","-0.3","28% (4/14)"
"383",11,"Jaylin Lane",WAS,"WR137","7","-","-","2 out of 5 stars","-","-","-"
"384",11,"Roschon Johnson",CHI,"RB106","10","-","-","2 out of 5 stars","-","-0.8","16% (1/6)"
"385",11,"Tennessee Titans",TEN,"DST26","9","-","-","2 out of 5 stars","-","-0.2","37% (6/16)"
"386",11,"Zane Gonzalez",FA,"K22","-","-","-","-","-","+3.0","75% (6/8)"
"387",11,"Tommy Tremble",CAR,"TE54","5","-","-","2 out of 5 stars","-","-0.3","31% (5/16)"
"388",11,"Jordan Whittington",LAR,"WR138","11","-","-","1 out of 5 stars","-","-1.2","18% (3/16)"
"389",11,"Luke Musgrave",GB,"TE55","11","-","-","2 out of 5 stars","-","-1.1","25% (4/16)"
"390",11,"J'Mari Taylor",JAC,"RB107","7","-","-","4 out of 5 stars","-","-","-"
"391",11,"Ben Sinnott",WAS,"TE56","7","-","-","1 out of 5 stars","-","+0.1","40% (6/15)"
"392",11,"Cincinnati Bengals",CIN,"DST27","6","-","-","4 out of 5 stars","-","-1.5","25% (4/16)"
"393",11,"Joe Milton III",DAL,"QB43","14","-","-","2 out of 5 stars","-","-0.1","7% (1/14)"
"394",11,"Devontez Walker",BAL,"WR139","13","-","-","4 out of 5 stars","-","-","-"
"395",11,"Nick Westbrook-Ikhine",IND,"WR140","13","-","-","4 out of 5 stars","-","-2.9","0% (0/13)"
"396",11,"Austin Hooper",ATL,"TE57","11","-","-","3 out of 5 stars","-","+0.2","46% (7/15)"
"397",11,"John Metchie III",CAR,"WR141","5","-","-","2 out of 5 stars","-","+0.1","33% (5/15)"
"398",11,"Demarcus Robinson",SF,"WR142","8","-","-","2 out of 5 stars","-","-0.6","38% (5/13)"
"399",11,"Jam Miller",NE,"RB108","11","-","-","2 out of 5 stars","-","-","-"
"400",11,"Phil Mafah",DAL,"RB109","14","-","-","4 out of 5 stars","-","-","-"
"401",11,"Mitchell Evans",CAR,"TE58","5","-","-","2 out of 5 stars","-","+0.8","56% (9/16)"
"402",11,"Daniel Bellinger",TEN,"TE59","9","-","-","3 out of 5 stars","-","-","-"
"403",11,"Greg Dortch",DET,"WR143","6","-","-","4 out of 5 stars","-","+1.4","50% (6/12)"
"404",11,"Jameis Winston",NYG,"QB44","8","-","-","4 out of 5 stars","-","+3.1","20% (1/5)"
"405",11,"Rasheen Ali",BAL,"RB110","13","-","-","3 out of 5 stars","-","+0.5","35% (5/14)"
"406",11,"Marcus Mariota",WAS,"QB45","7","-","-","2 out of 5 stars","-","0.0","33% (5/15)"
"407",11,"Barion Brown",NO,"WR144","8","-","-","3 out of 5 stars","-","-","-"
"408",11,"Tutu Atwell",LAR,"WR145","11","-","-","1 out of 5 stars","-","-0.6","22% (2/9)"
"409",11,"Miami Dolphins",MIA,"DST28","6","-","-","3 out of 5 stars","-","+0.1","56% (9/16)"
"410",11,"Ashton Dulin",IND,"WR146","13","-","-","4 out of 5 stars","-","-","-"
"411",11,"Kyle Juszczyk",SF,"RB111","8","-","-","2 out of 5 stars","-","-","-"
"412",11,"Sione Vaki",DET,"RB112","6","-","-","5 out of 5 stars","-","-","-"
"413",11,"Nick Folk",ATL,"K23","11","-","-","0 out of 5 stars","-167","+1.2","50% (8/16)"
"414",11,"Deion Burks",IND,"WR147","13","-","-","4 out of 5 stars","-","-","-"
"415",11,"Dyami Brown",WAS,"WR148","7","-","-","2 out of 5 stars","-","-1.5","27% (3/11)"
"416",11,"Cade Klubnik",NYJ,"QB46","13","-","-","4 out of 5 stars","-","-","-"
"417",12,"John Bates",WAS,"TE60","7","-","-","1 out of 5 stars","-133","-0.8","28% (4/14)"
"418",12,"Austin Ekeler",FA,"RB113","-","-","-","-","-170","-","-"
"419",12,"Elijah Higgins",ARI,"TE61","14","-","-","2 out of 5 stars","-","+0.1","43% (7/16)"
"420",12,"Marlin Klein",HOU,"TE62","8","-","-","4 out of 5 stars","-","-","-"
"421",12,"Odell Beckham Jr.",NYG,"WR149","8","-","-","4 out of 5 stars","-","-","-"
"422",12,"Zavier Scott",MIN,"RB114","6","-","-","4 out of 5 stars","-","0.0","40% (6/15)"
"423",12,"Dameon Pierce",PHI,"RB115","10","-","-","4 out of 5 stars","-","-0.9","25% (1/4)"
"424",12,"Damien Martinez",GB,"RB116","11","-","-","4 out of 5 stars","-","-","-"
"425",12,"Las Vegas Raiders",LV,"DST29","13","-","-","4 out of 5 stars","-","-2.0","18% (3/16)"
"426",12,"Terrell Jennings",FA,"RB117","-","-","-","-","-","-","-"
"427",12,"Daniel Carlson",NO,"K24","8","-","-","5 out of 5 stars","-","-1.0","31% (5/16)"
"428",12,"Will Kacmarek",MIA,"TE63","6","-","-","5 out of 5 stars","-","-","-"
"429",12,"Tanner Koziol",JAC,"TE64","7","-","-","3 out of 5 stars","-","-","-"
"430",12,"Jackson Hawes",BUF,"TE65","7","-","-","3 out of 5 stars","-","+1.2","56% (9/16)"
"431",12,"Blake Grupe",IND,"K25","13","-","-","4 out of 5 stars","-","+1.0","40% (6/15)"
"432",12,"Tyler Goodson",ATL,"RB118","11","-","-","2 out of 5 stars","-110","-","-"
"433",12,"Chad Ryland",ARI,"K26","14","-","-","2 out of 5 stars","-","+0.8","53% (8/15)"
"434",12,"Joey Slye",TEN,"K27","9","-","-","4 out of 5 stars","-","+2.7","66% (10/15)"
"435",12,"Matt Hibner",BAL,"TE66","13","-","-","4 out of 5 stars","-","-","-"
"436",12,"Ryan Fitzgerald",CAR,"K28","5","-","-","0 out of 5 stars","-","+0.1","43% (7/16)"
"437",12,"Brandon McManus",FA,"K29","-","-","-","-","-","+0.8","61% (8/13)"
"438",12,"Josh Oliver",MIN,"TE67","6","-","-","4 out of 5 stars","-","+0.6","28% (4/14)"
"439",12,"Washington Commanders",WAS,"DST30","7","-","-","2 out of 5 stars","-","-1.7","37% (6/16)"
"440",12,"Adam Trautman",DEN,"TE68","10","-","-","4 out of 5 stars","-","-0.4","37% (6/16)"
"441",12,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","-","-2.6","25% (4/16)"
"442",12,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-","-0.8","31% (5/16)"
"443",12,"Isaiah Williams",FA,"WR150","-","-","-","-","-","-","-"
"444",12,"Jahdae Walker",CHI,"WR151","10","-","-","3 out of 5 stars","-","+4.9","100% (2/2)"
"445",12,"Tai Felton",MIN,"WR152","6","-","-","5 out of 5 stars","-","-","-"
"446",12,"Jimmy Horn Jr.",CAR,"WR153","5","-","-","2 out of 5 stars","-","-","-"
"447",12,"Ben Sauls",NYG,"K30","8","-","-","2 out of 5 stars","-","+1.3","50% (1/2)"
"448",12,"Zach Ertz",FA,"TE69","-","-","-","-","-","-","-"
"449",12,"Hunter Luepke",DAL,"RB119","14","-","-","4 out of 5 stars","-","-","-"
"450",12,"Spencer Shrader",IND,"K31","13","-","-","4 out of 5 stars","-","-","-"
"451",12,"Tommy Myers",FA,"TE70","-","-","-","-","-","-","-"
"452",12,"Marquez Valdes-Scantling",DAL,"WR154","14","-","-","2 out of 5 stars","-","-1.4","22% (2/9)"
"453",12,"Ronnie Rivers",LAR,"RB120","11","-","-","5 out of 5 stars","-","-","-"
"454",12,"Drew Stevens",WAS,"K32","7","-","-","5 out of 5 stars","-","-","-"
"455",12,"Jonnu Smith",GB,"TE71","11","-","-","2 out of 5 stars","-","-1.0","25% (4/16)"
"456",12,"Robert Henry Jr.",WAS,"RB121","7","-","-","4 out of 5 stars","-","-","-"
"457",12,"Khalil Herbert",SF,"RB122","8","-","-","2 out of 5 stars","-","-","-"
